OBJECTID,GEO_ID,STATE,NAME,LSAD,CENSUSAREA,Fips,Area,Percent_of_US_1997,Percent_of_US_1998,Percent_of_US_1999,Percent_of_US_2000,Percent_of_US_2001,Percent_of_US_2002,Percent_of_US_2003,Percent_of_US_2004,Percent_of_US_2005,Percent_of_US_2006,Percent_of_US_2007,Percent_of_US_2008,Percent_of_US_2009,Percent_of_US_2010,Percent_of_US_2011,Percent_of_US_2012,Percent_of_US_2013,Percent_of_US_2014,Percent_of_US_2015,Percent_of_US_2016,GDP_in_dollars_1997,GDP_in_dollars_1998,GDP_in_dollars_1999,GDP_in_dollars_2000,GDP_in_dollars_2001,GDP_in_dollars_2002,GDP_in_dollars_2003,GDP_in_dollars_2004,GDP_in_dollars_2005,GDP_in_dollars_2006,GDP_in_dollars_2007,GDP_in_dollars_2008,GDP_in_dollars_2009,GDP_in_dollars_2010,GDP_in_dollars_2011,GDP_in_dollars_2012,GDP_in_dollars_2013,GDP_in_dollars_2014,GDP_in_dollars_2015,GDP_in_dollars_2016,Shape__Area,Shape__Length
1,0400000US23,23,Maine, ,30842.923,23000,Maine,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,30720000000,32394000000,34613000000,37072000000,38834000000,40520000000,42291000000,44887000000,46277000000,48311000000,49452000000,49949000000,50405000000,51456000000,51490000000,52580000000,53348000000,55325000000,57332000000,59275000000,1.7245E+11,3700767.604
2,0400000US25,25,Massachusetts, ,7800.058,25000,Massachusetts,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.37226E+11,2.4909E+11,2.6474E+11,2.89688E+11,2.97197E+11,3.04012E+11,3.154E+11,3.30072E+11,3.45059E+11,3.60557E+11,3.78864E+11,3.85445E+11,3.85698E+11,4.02652E+11,4.17283E+11,4.34098E+11,4.4209E+11,4.59118E+11,4.881E+11,5.07913E+11,38927241489,1982815.626
3,0400000US26,26,Michigan, ,56538.901,26000,Michigan,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.1,3,2.9,2.8,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.02803E+11,3.13403E+11,3.37639E+11,3.51621E+11,3.50578E+11,3.64465E+11,3.76269E+11,3.82666E+11,3.95166E+11,3.9555E+11,4.01522E+11,3.8427E+11,3.63146E+11,3.85021E+11,3.99437E+11,4.16701E+11,4.29644E+11,4.45209E+11,4.70611E+11,4.87239E+11,2.96356E+11,6588850.235
4,0400000US30,30,Montana, ,145545.801,30000,Montana,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,19178000000,20381000000,20874000000,21953000000,23054000000,23983000000,25746000000,28019000000,30637000000,32914000000,35947000000,36917000000,36079000000,38375000000,41187000000,42349000000,43229000000,45058000000,45845000000,45994000000,8.20167E+11,4403451.434
5,0400000US32,32,Nevada, ,109781.18,32000,Nevada,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,60052000000,64707000000,71428000000,77006000000,81363000000,85647000000,91846000000,1.05062E+11,1.18785E+11,1.28311E+11,1.32167E+11,1.28363E+11,1.20202E+11,1.21713E+11,1.24445E+11,1.2544E+11,1.28205E+11,1.32653E+11,1.4107E+11,1.47475E+11,4.80255E+11,3040772.532
6,0400000US34,34,New Jersey, ,7354.22,34000,New Jersey,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.5,3.4,3.4,3.3,3.4,3.4,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.0815E+11,3.21334E+11,3.37918E+11,3.63295E+11,3.76678E+11,3.91565E+11,4.08941E+11,4.24935E+11,4.43148E+11,4.65027E+11,4.80912E+11,4.91855E+11,4.82143E+11,4.8913E+11,4.93343E+11,5.14662E+11,5.31072E+11,5.42549E+11,5.6436E+11,5.81122E+11,34581962446,1099421.15
7,0400000US36,36,New York, ,47126.399,36000,New York,8.3,8.2,8.2,8.2,8.3,8.2,7.9,7.9,7.9,7.8,7.7,7.6,8,8.1,8,8.1,8,8.1,8.1,8.1,7.11272E+11,7.41272E+11,7.90079E+11,8.33306E+11,8.76598E+11,8.90612E+11,9.05593E+11,9.58357E+11,1.02343E+12,1.07789E+12,1.1147E+12,1.11345E+12,1.14841E+12,1.20469E+12,1.22974E+12,1.30104E+12,1.33024E+12,1.39109E+12,1.44561E+12,1.488E+12,2.37364E+11,3640469.636
8,0400000US37,37,North Carolina, ,48617.905,37000,North Carolina,2.7,2.7,2.8,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3237E+11,2.47372E+11,2.65463E+11,2.77141E+11,2.90541E+11,3.00834E+11,3.12441E+11,3.32545E+11,3.57168E+11,3.86914E+11,3.97063E+11,4.15095E+11,4.07846E+11,4.16008E+11,4.27974E+11,4.3835E+11,4.54945E+11,4.74482E+11,4.99741E+11,5.17904E+11,1.95798E+11,4340509.253
9,0400000US39,39,Ohio, ,40860.694,39000,Ohio,4,4,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.5,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4346E+11,3.64985E+11,3.78814E+11,3.95127E+11,3.98945E+11,4.14216E+11,4.28667E+11,4.51195E+11,4.67392E+11,4.80097E+11,4.92925E+11,4.92745E+11,4.79526E+11,4.98989E+11,5.28567E+11,5.50299E+11,5.64683E+11,5.91485E+11,6.07326E+11,6.25715E+11,1.84248E+11,2119386.209
10,0400000US42,42,Pennsylvania, ,44742.703,42000,Pennsylvania,4.2,4.1,4.1,4,4,4,4,4,3.9,3.8,3.9,4,4,4,4,4,4,4,4,3.9,3.5565E+11,3.73744E+11,3.90617E+11,4.08556E+11,4.2602E+11,4.37895E+11,4.56705E+11,4.83757E+11,5.06505E+11,5.25979E+11,5.59876E+11,5.79432E+11,5.73964E+11,5.96662E+11,6.15411E+11,6.37896E+11,6.59792E+11,6.84781E+11,7.08402E+11,7.24936E+11,2.05476E+11,2096211.578
